"id";"fecha";"importe";"tipoPago";"concepto";"polizas.id";"companias.id";"nroRecibo";"fechaVencimiento"
4572;3/2/2010 00:00:00;113,00;"P";"CUOTA 8";1111;;8;
4573;5/3/2010 00:00:00;113,00;"P";"CUOTA 9";1111;;9;
4574;10/4/2010 00:00:00;113,00;"P";"CUOTA 10";1111;;10;
4575;10/4/2010 00:00:00;210,00;"P";"CUOTA 2";1685;;2;
4576;3/2/2010 00:00:00;153,00;"P";"CUOTA 8";1158;;8;
4577;10/3/2010 00:00:00;153,00;"P";"CUOTA 9";1158;;9;
4578;10/4/2010 00:00:00;153,00;"P";"CUOTA 10";1158;;10;
4579;3/2/2010 00:00:00;261,70;"P";"CUOTA 2";1558;;2;
4580;10/3/2010 00:00:00;261,70;"P";"CUOTA 3";1558;;3;
4581;10/4/2010 00:00:00;261,70;"P";"CUOTA 4";1558;;4;
4582;10/3/2010 00:00:00;263,00;"P";"CUOTA 5";1445;;5;
4583;10/4/2010 00:00:00;263,00;"P";"CUOTA 6";1445;;6;
4584;5/3/2010 00:00:00;250,80;"P";"CUOTA 4";1399;;4;
4585;10/3/2010 00:00:00;271,47;"P";"CUOTA 4";1442;;4;
4586;10/4/2010 00:00:00;271,47;"P";"CUOTA 5";1442;;5;
4587;10/4/2010 00:00:00;389,19;"P";"CUOTA 1";1770;;1;
4588;6/5/2010 00:00:00;389,22;"P";"CUOTA 2";1770;;2;
4589;13/4/2010 00:00:00;226,13;"P";"CUOTA 1";2120;;1;
4590;5/3/2010 00:00:00;250,53;"P";"CUOTA 5";1355;;5;
4591;12/4/2010 00:00:00;250,53;"P";"CUOTA 6";1355;;6;
4592;5/3/2010 00:00:00;244,00;"P";"CUOTA 2";1567;;2;
4593;12/4/2010 00:00:00;244,00;"P";"CUOTA 3";1567;;3;
4594;3/2/2010 00:00:00;247,05;"P";"CUOTA 1";1567;;1;
4595;5/2/2010 00:00:00;153,57;"P";"CUOTA 1";1590;;1;
4596;10/3/2010 00:00:00;153,57;"P";"CUOTA 2";1590;;2;
4597;13/4/2010 00:00:00;153,57;"P";"CUOTA 3";1590;;3;
4598;13/4/2010 00:00:00;278,88;"P";"CUOTA 1";2118;;1;
4599;12/3/2010 00:00:00;277,42;"P";"CUOTA 6";1343;;6;
4600;19/4/2010 00:00:00;423,70;"P";"CUOTA 1";1775;;1;
4601;23/3/2010 00:00:00;539,00;"P";"CUOTA 3";1614;;3;
4602;26/4/2010 00:00:00;539,00;"P";"CUOTA 4";1614;;4;
4603;10/5/2010 00:00:00;135,00;"P";"CUOTA 1";1719;;1;
4604;10/5/2010 00:00:00;135,00;"P";"CUOTA 2";1719;;2;
4605;10/5/2010 00:00:00;135,00;"P";"CUOTA 3";1719;;3;
